index,race,gender,age,bbox,age_preds_fair,age_scores_fair
0,Southeast Asian,Male,25,"[67, 78, 131, 163, 0]",3,"[4.6657476e-07 3.2950163e-06 4.5302976e-03 4.8846766e-01 4.6543136e-01
 4.0012520e-02 1.5031132e-03 4.9526436e-05 1.7719967e-06]"
1,White,Female,15,"[262, 239, 352, 347, 0]",2,"[0.00228797 0.27317378 0.27392763 0.26981473 0.14251217 0.03248913
 0.00410255 0.0013477  0.00034427]"
2,White,Female,25,"[736, 103, 792, 171, 0]",3,"[1.7709924e-06 7.2461444e-05 9.5501430e-03 5.7584023e-01 3.5918054e-01
 5.1348876e-02 3.8009810e-03 1.9782511e-04 7.1600471e-06]"
3,White,Female,25,"[178, 172, 246, 260, 0]",3,"[0.00217562 0.01996154 0.02427785 0.43952414 0.35795313 0.12340301
 0.02713653 0.00493977 0.0006284 ]"
4,East Asian,Female,45,"[622, 178, 707, 284, 0]",5,"[0.00143895 0.02009335 0.0156186  0.12224078 0.20833841 0.22601837
 0.22472948 0.1469069  0.03461513]"
5,Middle Eastern,Female,25,"[453, 112, 504, 183, 0]",3,"[6.0192059e-07 3.0669235e-04 4.3041263e-02 8.2336068e-01 1.2576205e-01
 7.2818883e-03 2.3126914e-04 1.4215727e-05 1.4307268e-06]"
6,Latino_Hispanic,Male,25,"[324, 62, 356, 103, 0]",3,"[2.5563594e-04 7.3625646e-03 6.3359499e-02 6.7685080e-01 2.2122656e-01
 2.8447872e-02 2.1683327e-03 2.9540496e-04 3.3410837e-05]"
7,Middle Eastern,Female,25,"[214, 68, 253, 120, 0]",3,"[3.3263990e-05 1.6060056e-02 2.9248023e-01 6.2388241e-01 6.4397402e-02
 3.0589930e-03 7.2580158e-05 1.3666638e-05 1.4301924e-06]"
8,White,Male,25,"[399, 96, 427, 134, 0]",3,"[3.5836387e-03 4.5707155e-02 9.8009638e-02 5.7779801e-01 2.2973754e-01
 3.8932409e-02 5.1029483e-03 9.5638866e-04 1.7225792e-04]"
9,East Asian,Female,25,"[817, 392, 947, 557, 0]",3,"[2.4370254e-04 7.9172850e-03 9.1222048e-02 6.7286587e-01 1.6983624e-01
 4.7353454e-02 8.5906209e-03 1.6916514e-03 2.7901051e-04]"
10,East Asian,Female,25,"[530, 79, 561, 122, 0]",3,"[1.1394890e-04 9.6548134e-03 1.7243192e-01 6.6015387e-01 1.3697274e-01
 1.9119907e-02 1.2541525e-03 2.6453467e-04 3.4116831e-05]"
11,East Asian,Male,25,"[687, 71, 710, 98, 0]",3,"[0.00382882 0.02374396 0.05837971 0.43181795 0.31254452 0.13206649
 0.02916091 0.00678909 0.00166861]"
12,White,Male,25,"[426, 58, 446, 87, 0]",3,"[0.00147509 0.00556232 0.01176737 0.28217906 0.2821392  0.16971764
 0.13700792 0.08464827 0.02550313]"
13,White,Male,25,"[378, 77, 403, 109, 0]",3,"[3.0328804e-03 2.7824748e-02 8.8220254e-02 5.9980881e-01 2.4132492e-01
 3.4922265e-02 4.1034115e-03 6.4464967e-04 1.1809282e-04]"
14,White,Male,45,"[932, 170, 959, 203, 0]",5,"[0.00053751 0.00182625 0.00756537 0.06987332 0.16268422 0.2867397
 0.28477347 0.15577501 0.0302251 ]"
